file,language,start_ms,end_ms,dur_ms
GH007,Twi,110510,110910,400
GH007,English,110910,112028,1118
GH007,Twi,112028,113766,1738
GH007,Twi,114169,119774,5605
GH007,English,119774,121440,1666
GH007,Twi,121440,123099,1659
GH007,English,123099,128109,5010
GH007,Twi,128109,129307,1198
GH007,Twi,129726,134175,4449
GH007,English,134175,134844,669
GH007,Twi,134844,135505,661
GH007,Twi,135997,136130,133
GH007,English,136130,137570,1440
GH007,Twi,137570,140190,2620
GH007,English,140190,140490,300
GH007,Twi,140490,141636,1146
GH007,English,142065,142534,469
GH007,Twi,142534,153064,10530
GH007,Twi,153567,160995,7428
GH007,Twi,161563,163150,1587
GH007,Twi,163996,170673,6677
GH007,English,170673,171993,1320
GH007,Twi,172335,173311,976
GH007,Twi,173844,174890,1046
GH007,Twi,175363,176926,1563
GH007,Twi,177417,178014,597
GH007,Twi,178513,180913,2400
GH007,English,180913,181770,857
GH007,Twi,181770,182977,1207
GH007,Twi,183832,185955,2123
GH007,Twi,186546,190033,3487
GH007,Twi,190559,193056,2497
GH007,Twi,193729,198845,5116
GH007,Twi,199560,202026,2466
GH007,Twi,203102,206008,2906
GH007,Twi,206464,207682,1218
GH007,English,207682,208947,1265
GH007,Twi,208947,209123,176
GH007,Twi,209608,212043,2435
GH007,Twi,212851,213448,597
GH007,Twi,213985,215756,1771
GH007,Twi,216672,217498,826
GH007,Twi,218042,219067,1025
GH007,English,219067,220391,1324
GH007,Twi,220391,221544,1153
GH007,Twi,222210,224321,2111
GH007,Twi,224929,227361,2432
GH007,Twi,227787,229460,1673
GH007,English,229460,230194,734
GH007,Twi,230194,233717,3523
GH007,Twi,234126,238111,3985
GH007,English,238111,239920,1809
GH007,Twi,239920,246682,6762
GH007,Twi,247251,251329,4078
GH007,English,251329,254500,3171
GH007,Twi,254500,255238,738
GH007,English,255238,255510,272
GH007,Twi,255510,256178,668
GH007,English,256178,257200,1022
GH007,Twi,257200,263081,5881
GH007,English,263081,264040,959
GH007,Twi,264040,264400,360
GH007,English,264400,266135,1735
GH007,Twi,266135,268503,2368
GH007,Twi,269933,270612,679
GH007,Twi,271216,276947,5731
GH007,Twi,277408,279223,1815
GH007,Twi,279819,279890,71
GH007,English,279890,281187,1297
GH007,Twi,281187,284238,3051
GH007,Twi,284648,284950,302
GH008,Twi,50,518,468
GH008,Twi,2055,3184,1129
GH008,Twi,4876,5415,539
GH008,Twi,7171,8160,989
GH008,English,8160,9037,877
GH008,English,10640,12206,1566
GH008,English,12945,14018,1073
GH008,Twi,15077,15682,605
GH008,Twi,18406,18670,264
GH008,English,19998,21662,1664
GH008,Twi,23951,24218,267
GH008,English,27263,28256,993
GH008,English,30290,37540,7250
GH008,Twi,37540,38416,876
GH008,English,40930,41960,1030
GH008,Twi,41960,43044,1084
GH008,Twi,45707,47969,2262
GH008,English,48292,49078,786
GH008,Twi,50014,53125,3111
GH008,Twi,54611,56095,1484
GH008,Twi,57717,58134,417
GH008,Twi,58844,59507,663
GH008,Twi,61589,63102,1513
GH008,Twi,64641,66787,2146
GH008,English,67378,67940,562
GH008,Twi,67940,68966,1026
GH008,Twi,70404,71169,765
GH008,Twi,71964,74275,2311
GH008,Twi,74700,75969,1269
GH008,Twi,76449,76783,334
GH008,English,76783,77220,437
GH008,Twi,77220,77625,405
GH008,English,77625,79100,1475
GH008,Twi,80634,82950,2316
GH008,English,82950,83521,571
GH008,Twi,83521,83995,474
GH008,English,85320,85700,380
GH008,Twi,85700,85984,284
GH008,English,85984,87060,1076
GH008,Twi,88190,89661,1471
GH008,Twi,90930,91913,983
GH008,Twi,92662,92700,38
GH008,English,92700,94937,2237
GH008,English,95762,96516,754
GH008,Twi,96516,97758,1242
GH008,Twi,98826,99022,196
GH008,English,99022,99879,857
GH008,Twi,100154,100945,791
GH008,English,100945,101775,830
GH008,Twi,102395,102600,205
GH008,English,102600,103279,679
GH008,Twi,103993,104478,485
GH008,English,104478,105250,772
GH008,Twi,105250,105781,531
GH008,Twi,107008,107587,579
GH008,English,108003,108640,637
GH008,Twi,108640,111283,2643
GH008,Twi,112486,113723,1237
GH008,Twi,114847,116178,1331
GH008,Twi,117324,118370,1046
GH008,English,118370,118760,390
GH008,Twi,118760,120856,2096
GH008,Twi,121336,121373,37
GH008,English,121373,124610,3237
GH008,English,125892,126721,829
GH008,English,128281,136950,8669
GH008,Twi,136950,140153,3203
GH008,Twi,141821,143330,1509
GH008,English,143330,144190,860
GH008,Twi,144190,144846,656
GH008,Twi,146464,146722,258
GH008,English,146722,148160,1438
GH008,Twi,148160,148368,208
GH008,English,149115,149732,617
GH008,Twi,149732,149927,195
GH008,Twi,150340,151334,994
GH008,Twi,152479,153270,791
GH008,English,153270,153980,710
GH008,Twi,153980,154101,121
GH008,English,154101,155250,1149
GH008,Twi,155250,156007,757
GH008,English,156007,157151,1144
GH008,Twi,158370,159590,1220
GH008,English,159590,159990,400
GH008,Twi,159990,162329,2339
GH008,English,162329,166300,3971
GH008,Twi,166300,169218,2918
GH008,Twi,169732,173307,3575
GH008,English,173806,174731,925
GH008,Twi,174731,175144,413
GH008,English,175144,176136,992
GH008,Twi,176904,177221,317
GH008,English,177221,178139,918
GH008,Twi,178916,179250,334
GH008,English,179250,179960,710
GH008,Twi,179960,180166,206
GH008,English,180166,181260,1094
GH008,Twi,181260,183417,2157
GH008,Twi,184282,184968,686
GH008,English,184968,189210,4242
GH008,English,192903,203990,11087
GH008,Twi,210431,210941,510
