file,gesture_id,gesture_time_ms,gesture_type,pitch_time_ms,pitch_hz,time_diff_ms
GH008,a59,295010,beat,295022,239.61509895309848,-12
GH008,a60,295713,beat,295802,180.2749343956788,-89
GH008,a61,303905,beat,303802,121.74793565504,103
GH008,a62,307100,deictic,306792,165.73987478387318,308
GH008,a63,315729,deictic,315792,220.88951178905137,-63
GH008,a64,318024,beat,318022,132.40449283209512,2
GH008,a65,324463,deictic,324432,297.22757289703094,31
GH008,a66,327183,deictic,327172,287.38476195324506,11
GH008,a67,330495,deictic,330442,180.76189717864554,53
GH008,a68,335878,beat,335982,291.65263485319684,-104
GH008,a69,341545,beat,341702,298.5234225258927,-157
GH008,a70,345185,beat,345152,216.1783409981081,33
GH008,a71,351887,beat,351872,257.3776427622921,15
GH008,a72,356988,beat,356942,228.45944072121065,46
GH008,a73,358410,beat,358592,186.8750849122529,-182
GH008,a74,363988,beat,364482,206.5490091385594,-494
GH008,a75,365787,beat,365682,243.79654642716775,105
GH008,a76,369900,beat,369932,222.5036705700807,-32
GH008,a77,372068,beat,372112,169.7504496787862,-44
GH008,a78,376757,beat,377122,179.8640021110425,-365
GH008,a79,378818,deictic,379032,297.52920301837537,-214
GH008,a80,381504,deictic,381622,173.75096172767044,-118
GH008,a81,384819,beat,384712,257.2903867433627,107
GH008,a82,392062,deictic,392082,204.163544656009,-20
GH008,a83,396375,iconic,396362,172.37850606355534,13
GH008,a84,397789,iconic,397772,168.97047644355794,17
GH008,a85,398848,iconic,398852,185.776884849159,-4
GH008,a86,401213,beat,401252,214.9972402685697,-39
GH008,a87,402453,beat,402552,281.3384500487168,-99
GH008,a88,405920,iconic,405972,194.56668363437834,-52
GH008,a89,410294,iconic,410272,221.94883987562434,22
GH008,a90,414007,beat,413962,200.2623729788674,45
GH008,a91,416466,beat,416442,274.00016024152904,24
GH008,a92,417343,beat,417472,217.40640902693093,-129
GH008,a93,418341,beat,418382,228.6241670798237,-41
GH008,a94,421167,beat,421592,242.06360948014517,-425
GH008,a95,423186,beat,423352,167.2149354319026,-166
GH008,a96,427924,beat,427912,296.88201091124455,12
GH008,a97,436820,beat,436802,251.9317520252066,18
GH008,a98,440911,beat,441002,232.28180231855927,-91
GH008,a99,445820,beat,445802,194.76881731520592,18
GH008,a100,448638,beat,448622,288.602322147707,16
GH008,a101,464962,iconic,465002,188.84972527201234,-40
GH008,a102,465745,beat,465822,236.69897599747094,-77
GH008,a103,468344,beat,468452,250.2293949848646,-108
GH008,a104,470574,beat,470572,210.30947111395804,2
GH008,a105,482707,beat,482882,292.44007242357634,-175
GH008,a106,487051,beat,487072,163.08318417813402,-21
GH008,a107,491452,beat,491452,224.66106266074624,0
GH008,a108,494367,beat,494382,268.9437749087416,-15
GH008,a109,497084,beat,497232,195.37791830468495,-148
GH008,a110,501690,beat,501872,289.0346516720978,-182
GH008,a111,503055,beat,502962,91.87801801221597,93
GH008,a112,504590,beat,504652,195.09971603798655,-62
GH008,a113,511572,beat,511482,297.2977173730541,90
GH008,a114,513869,beat,513882,236.72220520651268,-13
GH008,a115,516123,beat,516122,187.1252830032024,1
GH008,a116,520690,beat,520712,271.476021717383,-22
GH008,a117,523874,beat,523902,198.45562214324673,-28
GH008,a118,525921,beat,525902,217.69937636327188,19
GH008,a119,531682,iconic,531642,224.61024443216002,40
GH008,a120,536194,beat,536202,237.21217944415895,-8
GH008,a121,537773,beat,537772,162.59647836178857,1
GH008,a122,546072,beat,546182,299.54233680989387,-110
GH008,a123,559604,beat,559872,280.2078917246064,-268
GH008,a124,564266,beat,564262,281.5105181276422,4
GH008,a125,567012,iconic,567342,298.83094269572734,-330
GH008,a126,572670,iconic,572852,299.70494715819353,-182
GH008,a127,575275,beat,575272,183.67657392564118,3
GH008,a128,576749,deictic,576762,204.4768324318554,-13
GH008,a129,580658,deictic,580562,154.60579662150406,96
GH008,a130,581603,beat,581452,244.33916437999622,151
GH008,a131,587106,beat,587102,193.96742951461067,4
GH008,a132,591757,beat,591732,269.3778904133551,25
GH008,a133,596670,beat,596652,197.95866409076345,18
GH009,a1,1308,beat,1282,187.46757963363447,26
GH009,a2,8715,beat,8702,180.32116950821765,13
GH009,a3,10909,beat,10902,194.4363226523027,7
